iteration,total,nkpc,bond_euler
0,0.3821927011013031,0.028886163607239723,0.35330653190612793
1,0.5817857384681702,0.025076542049646378,0.5567091703414917
2,0.6040793657302856,0.024969425052404404,0.5791099667549133
3,0.4609006941318512,0.02452189289033413,0.4363788068294525
4,0.42028769850730896,0.02403712458908558,0.39625057578086853
5,0.4258066415786743,0.023616615682840347,0.40219002962112427
